ID_enfermedad,nombre,agente_causal,ID_tipo,sintomas,transmision,tratamiento
1,Rabia,Virus de la rabia,1,"Cambios de comportamiento, salivación excesiva, parálisis","Mordeduras o saliva de animales infectados","No tiene cura; prevención con vacuna"
2,Panleucopenia felina,Parvovirus felino,1,"Fiebre, vómito, diarrea, deshidratación","Contacto con heces o secreciones de gatos infectados","Terapia de soporte, líquidos, antibióticos preventivos"
3,Calicivirosis felina,Calicivirus felino,1,"Estornudos, úlceras orales, fiebre, conjuntivitis","Contacto con secreciones nasales o saliva","Soporte, antibióticos si hay infección secundaria"
4,Rinotraqueítis viral felina,Herpesvirus felino tipo 1,1,"Secreción nasal y ocular, estornudos, fiebre","Secreciones nasales y oculares","Antivirales, antibióticos, soporte"
5,Leucemia felina (FeLV),Retrovirus felino,1,"Inmunosupresión, pérdida de peso, fiebre","Contacto con saliva, sangre o leche materna","No tiene cura, manejo sintomático y vacunación preventiva"
6,Inmunodeficiencia felina (FIV),Lentivirus felino,1,"Fiebre, pérdida de apetito, infecciones recurrentes","Mordeduras profundas, contacto con sangre","No tiene cura, manejo del sistema inmune"
7,Clamidiosis felina,Chlamydia felis,2,"Conjuntivitis, estornudos, secreción ocular","Contacto con secreciones oculares/nasales","Antibióticos (doxiciclina)"
8,Bordetelosis,Bordetella bronchiseptica,2,"Tos, estornudos, secreción nasal","Aerosoles respiratorios o contacto directo","Antibióticos y manejo de síntomas"
9,Micoplasmosis hemotrópica,Mycoplasma haemofelis,2,"Anemia, fiebre, letargo","Picaduras de pulgas o garrapatas","Antibióticos (doxiciclina), transfusiones"
10,Tuberculosis zoonótica,Mycobacterium bovis,2,"Pérdida de peso, tos, dificultad respiratoria","Inhalación o contacto con lesiones","Antibióticos prolongados, aislamiento"
11,Toxoplasmosis,Toxoplasma gondii,3,"Fiebre, letargo, ictericia, problemas neurológicos","Ingesta de carne cruda o heces infectadas","Clindamicina, manejo de síntomas"
12,Giardiasis,Giardia spp.,3,"Diarrea, pérdida de peso, vómitos","Agua o alimentos contaminados","Metronidazol o fenbendazol"
13,Coccidiosis,Isospora spp.,3,"Diarrea, deshidratación, debilidad","Ingesta de heces contaminadas","Sulfadimetoxina"
14,Toxocariasis,Toxocara cati,3,"Distensión abdominal, vómito, parásitos visibles","Ingesta de huevos del parásito","Antiparasitarios (pirantel, fenbendazol)"
15,Anquilostomiasis,Ancylostoma tubaeforme,3,"Diarrea con sangre, anemia","Penetración cutánea o ingestión","Antiparasitarios (albendazol, moxidectina)"
16,Dipilidiasis,Dipylidium caninum,3,"Picazón anal, vómitos, presencia de segmentos del parásito","Ingestión de pulgas infectadas","Praziquantel"
17,Otocariosis,Otodectes cynotis,3,"Picazón en orejas, sacudidas de cabeza, secreción oscura","Contacto directo con gatos infestados","Limpieza, acaricidas (ivermectina, selamectina)"
18,Dermatofitosis (Tiña),Microsporum canis,4,"Pérdida de pelo circular, picazón, costras","Contacto con esporas o superficies contaminadas","Antifúngicos tópicos y orales (itraconazol)"
19,Candidiasis,Candida spp.,4,"Lesiones en mucosas, piel o tracto digestivo","Oportunista, inmunosupresión","Antifúngicos (nistatina, fluconazol)"
20,Criptococosis,Cryptococcus neoformans,4,"Estornudos, masas nasales, síntomas neurológicos","Inhalación de esporas del suelo o heces de palomas","Antifúngicos prolongados (fluconazol, itraconazol)"
21,Enfermedad renal crónica,Multifactorial,5,"Aumento de sed, pérdida de peso, vómitos","No transmisible","Dieta renal, hidratación, control de fósforo"
22,Diabetes mellitus felina,Multifactorial,5,"Sed y hambre excesivas, pérdida de peso","No transmisible","Insulina, dieta especial"
23,Hipertiroidismo felino,Hiperplasia tiroidea,5,"Pérdida de peso, hiperactividad, taquicardia","No transmisible","Metimazol, cirugía o yodo radiactivo"
24,Cardiomiopatía hipertrófica,Genética,5,"Dificultad respiratoria, letargo, colapso","Hereditaria","Betabloqueadores, control cardíaco"

